word_id,korean_word,sample_count
WORD0001,고민,10
WORD0002,뻔뻔,10
WORD0003,수어,10
WORD0004,남아,10
WORD0005,눈,10
WORD0006,독신,10
WORD0007,음료수,10
WORD0008,발가락,10
WORD0009,슬프다,10
WORD0010,자극,10
WORD0011,안타깝다,10
WORD0012,어색하다,10
WORD0013,여아,10
WORD0014,외국인,10
WORD0015,영아,10
WORD0016,신사,10
WORD0017,뉴질랜드,10
WORD0018,나사렛대학교,10
WORD0019,알아서,10
WORD0020,장애인,10
WORD0021,열아홉번째,10
WORD0022,침착,10
WORD0023,성실,10
WORD0024,학교연혁,10
WORD0025,싫어하다,10
WORD0026,급하다,10
WORD0027,필기시험,10
WORD0028,병문안,10
WORD0029,검사,10
WORD0030,결승전,10
WORD0031,낚시터,10
WORD0032,낚시대,10
WORD0033,당뇨병,10
WORD0034,독서,10
WORD0035,매표소,10
WORD0036,면역,10
WORD0037,감기,10
WORD0038,배드민턴,10
WORD0039,변비,10
WORD0040,병명,10
WORD0041,보건소,10
WORD0042,불면증,10
WORD0043,불행,10
WORD0044,붕대,10
WORD0045,사위,10
WORD0046,설사,10
WORD0047,성병,10
WORD0048,방충,10
WORD0049,소화제,10
WORD0050,손녀,10
WORD0051,손자,10
WORD0052,수면제,10
WORD0053,수집가,10
WORD0054,여행지,10
WORD0055,예식장,10
WORD0056,올림픽경기,10
WORD0057,회복,10
WORD0058,첫번째,10
WORD0059,운동경기,10
WORD0060,입원,10
WORD0061,재혼,10
WORD0062,진단서,10
WORD0063,축구장,10
WORD0064,치료,10
WORD0065,치료법,10
WORD0066,친아들,10
WORD0067,퇴원,10
WORD0068,한약,10
WORD0069,한약방,10
WORD0070,빈혈,10
WORD0071,화상,10
WORD0072,가래떡,10
WORD0073,고깃국,10
WORD0074,고추,10
WORD0075,고추가루,10
WORD0076,사골,10
WORD0077,배추국,10
WORD0078,꽈베기,10
WORD0079,벌꿀,10
WORD0080,꿀물,10
WORD0081,냄비,10
WORD0082,찬물,10
WORD0083,다과,10
WORD0084,지방경찰청장,10
WORD0085,돼지고기,10
WORD0086,된장찌게,10
WORD0087,두부,10
WORD0088,딸기,10
WORD0089,떡국,10
WORD0090,라면,10
WORD0091,막걸리,10
WORD0092,무,10
WORD0093,밥그릇,10
WORD0094,밥솥,10
WORD0095,보신탕,10
WORD0096,부엌,10
WORD0097,소불고기,10
WORD0098,비빔밥,10
WORD0099,사과,10
WORD0100,사이다,10
WORD0101,달다,10
WORD0102,소주,10
WORD0103,술잔,10
WORD0104,식당,10
WORD0105,쌀가루,10
WORD0106,냉커피,10
WORD0107,양식,10
WORD0108,위스키,10
WORD0109,술,10
WORD0110,용품,10
WORD0111,유리그릇,10
WORD0112,짬뽕,10
WORD0113,참외,10
WORD0114,칼국수,10
WORD0115,커피,10
WORD0116,콜라,10
WORD0117,콩가루,10
WORD0118,통조림,10
WORD0119,와인,10
WORD0120,백설기,10
WORD0121,가죽신,10
WORD0122,군복,10
WORD0123,포켓,10
WORD0124,양산,10
WORD0125,운동화,10
WORD0126,잠옷,10
WORD0127,이불,10
WORD0128,에어컨,10
WORD0129,행거,10
WORD0130,월세,10
WORD0131,전세,10
WORD0132,치약,10
WORD0133,가수,10
WORD0134,체감,10
WORD0135,경고,10
WORD0136,경찰서,10
WORD0137,공식,10
WORD0138,과장,10
WORD0139,관광버스,10
WORD0140,교수,10
WORD0141,교장,10
WORD0142,찻길,10
WORD0143,독일어,10
WORD0144,반환,10
WORD0145,음주운전,10
WORD0146,동아리,10
WORD0147,디자이너,10
WORD0148,마을버스,10
WORD0149,구급차,10
WORD0150,개입하지않는다,10
WORD0151,음주운전,10
WORD0152,사무,10
WORD0153,신입학,10
WORD0154,여객선,10
WORD0155,여행사,10
WORD0156,기차역,10
WORD0157,예술가,10
WORD0158,외국어,10
WORD0159,요리사,10
WORD0160,강요,10
WORD0161,운동선수,10
WORD0162,퇴임,10
WORD0163,의사,10
WORD0164,이력서,10
WORD0165,자가용,10
WORD0166,재택근무,10
WORD0167,연령제한,10
WORD0168,주차장,10
WORD0169,채팅,10
WORD0170,출근,10
WORD0171,코치,10
WORD0172,터미널,10
WORD0173,근무,10
WORD0174,통역사,10
WORD0175,퇴사,10
WORD0176,사직,10
WORD0177,판결,10
WORD0178,평가,10
WORD0179,두번째,10
WORD0180,항공사,10
WORD0181,교통안전교육,10
WORD0182,화상채팅,10
WORD0183,회식,10
WORD0184,교통기본교육,10
WORD0185,후원,10
WORD0186,희생,10
WORD0187,간호사,10
WORD0188,교통법교육,10
WORD0189,계약금,10
WORD0190,고용,10
WORD0191,사업장,10
WORD0192,버스값,10
WORD0193,구직,10
WORD0194,논,10
WORD0195,대기업,10
WORD0196,사육장,10
WORD0197,백화점,10
WORD0198,압류,10
WORD0199,거지,10
WORD0200,수입,10
WORD0201,신용카드,10
WORD0202,백수,10
WORD0203,아르바이트,10
WORD0204,샛길,10
WORD0205,일시불,10
WORD0206,주유소,10
WORD0207,집주인,10
WORD0208,한국은행,10
WORD0209,경찰청장,10
WORD0210,가정교육,10
WORD0211,고등학교,10
WORD0212,고등학생,10
WORD0213,교무실,10
WORD0214,개학,10
WORD0215,교실,10
WORD0216,교육자,10
WORD0217,국어학,10
WORD0218,낙제,10
WORD0219,예절,10
WORD0220,독서실,10
WORD0221,등교,10
WORD0222,맹학교,10
WORD0223,복습,10
WORD0224,분필,10
WORD0225,상장,10
WORD0226,서점,10
WORD0227,학업,10
WORD0228,실습,10
WORD0229,여학교,10
WORD0230,여학생,10
WORD0231,연구소,10
WORD0232,연구실,10
WORD0233,예습,10
WORD0234,유학,10
WORD0235,의학,10
WORD0236,지도,10
WORD0237,재학,10
WORD0238,연구,10
WORD0239,학부모,10
WORD0240,학식,10
WORD0241,훈련,10
WORD0242,경기도,10
WORD0243,경남,10
WORD0244,경북,10
WORD0245,남산,10
WORD0246,울릉도,10
WORD0247,울산,10
WORD0248,전남,10
WORD0249,청주,10
WORD0250,충북,10
WORD0251,충남,10
WORD0252,불경,10
WORD0253,불경,10
WORD0254,성경책,10
WORD0255,신학,10
WORD0256,장로교,10
WORD0257,일요일,10
WORD0258,축하,10
WORD0259,회개,10
WORD0260,소감,10
WORD0261,장난,10
WORD0262,장인,10
WORD0263,희생자,10
WORD0264,디자인,10
WORD0265,돌무덤,10
WORD0266,쇠기둥,10
WORD0267,동화책,10
WORD0268,목공예,10
WORD0269,문학,10
WORD0270,문화유산,10
WORD0271,음악가,10
WORD0272,예술,10
WORD0273,초상화,10
WORD0274,토기,10
WORD0275,흑백영화,10
WORD0276,공군,10
WORD0277,감옥,10
WORD0278,국왕,10
WORD0279,보건복지,10
WORD0280,고소,10
WORD0281,유권자,10
WORD0282,절도죄,10
WORD0283,수감자,10
WORD0284,총무,10
WORD0285,강,10
WORD0286,달빛,10
WORD0287,장마,10
WORD0288,체온,10
WORD0289,파도,10
WORD0290,하늘,10
WORD0291,가시나무,10
WORD0292,강아지,10
WORD0293,구렁이,10
WORD0294,까마귀,10
WORD0295,꽃씨,10
WORD0296,꽃잎,10
WORD0297,웃는척,10
WORD0298,흡연실,10
WORD0299,무궁화,10
WORD0300,밤나무,10
WORD0301,벚꽃,10
WORD0302,깃털,10
WORD0303,솔잎,10
WORD0304,송아지,10
WORD0305,소뿔,10
WORD0306,양털,10
WORD0307,연꽃,10
WORD0308,참새,10
WORD0309,어제밤,10
WORD0310,갈색,10
WORD0311,최상급,10
WORD0312,공휴일,10
WORD0313,세번째,10
WORD0314,네번째,10
WORD0315,흙내음,10
WORD0316,금요일,10
WORD0317,급행,10
WORD0318,남부지방,10
WORD0319,식목일,10
WORD0320,방금,10
WORD0321,100만원,10
WORD0322,보라색,10
WORD0323,분홍조명,10
WORD0324,분홍색,10
WORD0325,얼굴이빨개지다,10
WORD0326,사춘기,10
WORD0327,3.1절,10
WORD0328,생년월일,10
WORD0329,수요일,10
WORD0330,10만원,10
WORD0331,어떻게,10
WORD0332,어린이날,10
WORD0333,연말,10
WORD0334,예전,10
WORD0335,식전,10
WORD0336,월요일,10
WORD0337,일요일,10
WORD0338,자정,10
WORD0339,아까,10
WORD0340,진하기,10
WORD0341,검정머리,10
WORD0342,최대,10
WORD0343,최소,10
WORD0344,평일,10
WORD0345,한글날,10
WORD0346,현충일,10
WORD0347,화요일,10
WORD0348,황금색,10
WORD0349,흑백,10
WORD0350,흑색,10
WORD0351,임시협약,10
WORD0352,감금,10
WORD0353,탈춤,10
WORD0354,가명,10
WORD0355,가발,10
WORD0356,가위바위보,10
WORD0357,가족회의,10
WORD0358,가짜,10
WORD0359,서약서,10
WORD0360,간편,10
WORD0361,감옥,10
WORD0362,감옥살이,10
WORD0363,보호,10
WORD0364,견습,10
WORD0365,강약,10
WORD0366,강철,10
WORD0367,개똥,10
WORD0368,개명,10
WORD0369,신경쓰다,10
WORD0370,거목,10
WORD0371,거북선,10
WORD0372,거역,10
WORD0373,거지,10
WORD0374,건장,10
WORD0375,걸스카우트,10
WORD0376,거지,10
WORD0377,겉멋,10
WORD0378,휴학,10
WORD0379,회칙,10
WORD0380,결승전,10
WORD0381,경찰행정,10
WORD0382,경비실,10
